"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Indexed Keywords","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Poudel S.; Keene S.J.; Kini R.L.; Hanif S.; Bass R.B.; Kolln J.T.","Poudel, Shiva (56195622700); Keene, Sean J. (57780485800); Kini, Roshan L. (57193264454); Hanif, Sarmad (56602557300); Bass, Robert B. (57191852951); Kolln, Jaime T. (57226523464)","56195622700; 57780485800; 57193264454; 56602557300; 57191852951; 57226523464","Modeling Environment for Testing a Distributed Energy Resource Management System (DERMS) Using GridAPPS-D Platform","2022","IEEE Access","10","","","77383","77395","12","10.1109/ACCESS.2022.3192845","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135219121&doi=10.1109%2fACCESS.2022.3192845&partnerID=40&md5=a8f1f9e6a7f8a29c5a59667fc4bc77db","The electric power system is currently undergoing a major transition due to growing numbers of distributed energy resources (DERs) and increased distribution automation. If optimally managed and operated, DERs could provide flexibility and highly valuable grid services such as restoration, peak shaving, voltage regulation, and frequency support to maintain grid reliability. Different applications and enterprises, such as distributed energy resources management systems (DERMS), are being developed for coordinated and optimal operation of DERs. However, to attract sufficient DER participation and achieve the coordinated operation of DERs, systems and components must be interoperable and information exchange must be secure. Along this line, the Portland State University power engineering group is developing Energy Grid of Things (EGoT) DERMS prototype. The proposed application requires the coordinated dispatch of large numbers of DERs and testing such a system presents a challenge; it is not practical to test system prototypes using thousands of real DERs. Hence, the modeling environment (ME) is designed as a co-simulation tool to model interactions between a DERMS and a mass of simulated DERs. The ME is expected to address the scalability issue inherent to hardware-in-the-loop DERMS simulation; many assets are needed to observe effects on the grid from deployment and dispatch of DERs. To enable the development and testing of such advanced applications for power distribution system planning and operations, the U.S Department of Energy developed GridAPPS-D™, an open-source, standards-based platform at Pacific Northwest National Laboratory. This paper introduces the proposed ME for testing a DERMS application. The architecture of the ME is presented, and the GridAPPS-D features for a such simulation environment are discussed. Additionally, the procedure for developing the ME within the GridAPPS-D platform and use of different APIs for efficient and timely integration are discussed in detail.  © 2013 IEEE.","Application programming interfaces (API); Electric load dispatching; Electric power distribution; Electric power transmission networks; Interoperability; Open source software; Common information model; Coordinated operation; Distributed Energy Resources; Energy resource managements; Grid services; Information Modeling; Modeling environments; Power systems simulation; Resource management systems; System prototype; Voltage regulators","Common information model; distributed energy resources; grid services; power system simulation","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85135219121"
"Stone J.E.; Griffin K.S.; Amstutz J.; Demarle D.E.; Sherman W.R.; Gunther J.","Stone, John E. (8083379000); Griffin, Kevin S. (56647682300); Amstutz, Jefferson (56315305500); Demarle, David E. (8394853800); Sherman, William R. (18435371100); Gunther, Johannes (22934399000)","8083379000; 56647682300; 56315305500; 8394853800; 18435371100; 22934399000","ANARI: A 3-D Rendering API Standard","2022","Computing in Science and Engineering","24","2","","7","18","11","10.1109/MCSE.2022.3163151","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127499076&doi=10.1109%2fMCSE.2022.3163151&partnerID=40&md5=4f221d9baaef767e40ffe19995899e18","ANARI is a new 3-D rendering API, an emerging Khronos standard that enables visualization applications to leverage the state-of-the-art rendering techniques across diverse hardware platforms and rendering engines. Visualization applications have historically embedded custom-written renderers to enable them to provide the necessary combination of features, performance, and visual fidelity required by their users. As computing power, rendering algorithms, dedicated rendering hardware acceleration operations, and associated low-level APIs have advanced, the effort and costs associated with maintaining renderers within visualization applications have risen dramatically. The rising cost and complexity associated with renderer development creates an undesirable barrier for visualization applications to be able to fully benefit from the latest rendering methods and hardware. ANARI directly addresses these challenges by providing a high-level, visualization-oriented API that abstracts low-level rendering algorithms and hardware acceleration details while providing easy and efficient access to diverse ANARI implementations, thereby enabling visualization applications to support the state-of-the-art rendering capabilities. © 1999-2011 IEEE.","Application programming interfaces (API); Computer hardware; Lighting; Rendering (computer graphics); Three dimensional computer graphics; Visualization; 3-D rendering; Complexity theory; Hardware; Hardware acceleration; Rendering (computer graphic); Rendering algorithms; Rendering hardware; Software; State of the art; Visualization application; Ray tracing","","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85127499076"
"Chatterjee A.; Prinz A.","Chatterjee, Ayan (57213142750); Prinz, Andreas (56160992000)","57213142750; 56160992000","Applying Spring Security Framework with KeyCloak-Based OAuth2 to Protect Microservice Architecture APIs: A Case Study","2022","Sensors","22","5","1703","","","","10.3390/s22051703","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125059525&doi=10.3390%2fs22051703&partnerID=40&md5=319d2ae09bf39503d986d72bd6ddf908","In this study, we implemented an integrated security solution with Spring Security and Keycloak open-access platform (SSK) to secure data collection and exchange over microservice architecture application programming interfaces (APIs). The adopted solution implemented the following security features: open authorization, multi-factor authentication, identity brokering, and user management to safeguard microservice APIs. Then, we extended the security solution with a virtual private network (VPN), Blowfish and crypt (Bcrypt) hash, encryption method, API key, network firewall, and secure socket layer (SSL) to build up a digital infrastructure. To accomplish and describe the adopted SSK solution, we utilized a web engineering security method. As a case study, we designed and developed an electronic health coaching (eCoach) prototype system and hosted the system in the expanded digital secure infrastructure to collect and exchange personal health data over microservice APIs. We further described our adopted security solution’s procedural, technical, and practical considerations. We validated our SSK solution implementation by theoretical evaluation and experimental testing. We have compared the test outcomes with related studies qualitatively to determine the efficacy of the hybrid security solution in digital infrastructure. The SSK implementation and configuration in the eCoach prototype system has effectively secured its microservice APIs from an attack in all the considered scenarios with 100% accuracy. The developed digital infrastructure with SSK solution efficiently sustained a load of (≈)300 concurrent users. In addition, we have performed a qualitative comparison among the following security solutions: Spring-based security, Keycloak-based security, and their combination (our utilized hybrid security solution), where SSK showed a promising outcome. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Computer Security; Software; Application programming interfaces (API); Authentication; Authorization; Computer system firewalls; Network architecture; Network security; Virtual private networks; Applications programming interfaces; Case-studies; Digital infrastructures; Electronic health; External at-tack; Keycloak; Prototype system; REST; Security solutions; Spring-boot; computer security; software; Cryptography","API; Authentication; Authorization; Encryption; External at-tacks; Keycloak; REST; Spring-boot","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125059525"
"Wang B.; Chen B.; Yu K.; Xie L.; Chen J.","Wang, Bohan (57554139900); Chen, Bo (55723090800); Yu, Kaixin (57554140000); Xie, Lijun (15623902500); Chen, Jianjun (56294385000)","57554139900; 55723090800; 57554140000; 15623902500; 56294385000","An ultralight geometry processing library for parallel mesh refinement","2022","Advances in Aerodynamics","4","1","13","","","","10.1186/s42774-021-00093-8","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127289019&doi=10.1186%2fs42774-021-00093-8&partnerID=40&md5=b04e98d4a9a34fbef9ad76c474511c32","In applications such as parallel mesh refinement, it remains a challenging issue to ensure the refined surface respects the original Computer-Aided Design (CAD) model accurately. In this paper, an ultralight geometry processing library is developed to resolve this issue effectively and efficiently. Here, we say the kernel is ultralight because it has a very small set of data-structures and algorithms by comparison with industrial-level geometry kernels. Within the library, a simplified surface boundary representation (B-rep) and a radial edge structure are developed respectively to depict the geometry model and the surface mesh, plus hash tables that record the connections between the geometry model and the surface mesh. Based on these data structures, a set of efficient algorithms are developed, which initializes the connection tables, projects a point back to the original geometry, etc. With these data-structure and algorithmic infrastructures set up, the callings of eight well-designed Application Programming Interfaces (APIs) are powerful enough to enable the parallel mesh refinement algorithm outputs a mesh respecting the input CAD model accurately. Numerical experiments will be finally presented to evaluate the performance of the overall parallel mesh refinement algorithm and the algorithms in relation with the developed library. © 2022, The Author(s).","Application programming interfaces (API); Data structures; Mesh generation; Boundary representation; Boundary representations; Computer aided design models; Computer-aided design; Geometry model; Geometry processing; Mesh deformation; Mesh refinement; Parallel mesh refinement; Ultra-light; Computer aided design","Boundary representation (B-rep); Computer-aided design (CAD); Mesh deformation; Mesh generation; Mesh refinement","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85127289019"
"Mariano B.; Chen Y.; Feng Y.; Durrett G.; Dillig I.","Mariano, Benjamin (57221148206); Chen, Yanju (57210928384); Feng, Yu (57026668300); Durrett, Greg (6504004627); Dillig, Işil (22936636100)","57221148206; 57210928384; 57026668300; 6504004627; 22936636100","Automated transpilation of imperative to functional code using neural-guided program synthesis","2022","Proceedings of the ACM on Programming Languages","6","OOPSLA1","3527315","","","","10.1145/3527315","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129720072&doi=10.1145%2f3527315&partnerID=40&md5=5e070b0039021d7b6855424041875e84","While many mainstream languages such as Java, Python, and C# increasingly incorporate functional APIs to simplify programming and improve parallelization/performance, there are no effective techniques that can be used to automatically translate existing imperative code to functional variants using these APIs. Motivated by this problem, this paper presents a transpilation approach based on inductive program synthesis for modernizing existing code. Our method is based on the observation that the overwhelming majority of source/target programs in this setting satisfy an assumption that we call trace-compatibility: not only do the programs share syntactically identical low-level expressions, but these expressions also take the same values in corresponding execution traces. Our method leverages this observation to design a new neural-guided synthesis algorithm that (1) uses a novel neural architecture called cognate grammar network (CGN) and (2) leverages a form of concolic execution to prune partial programs based on intermediate values that arise during a computation. We have implemented our approach in a tool called NGST2 and use it to translate imperative Java and Python code to functional variants that use the Stream and functools APIs respectively. Our experiments show that NGST2 significantly outperforms several baselines and that our proposed neural architecture and pruning techniques are vital for achieving good results.  © 2022 Owner/Author.","Application programming interfaces (API); Codes (symbols); Functional programming; High level languages; Java programming language; Network architecture; Network coding; Neural networks; Call traces; Execution trace; Functional codes; Inductive Program Synthesis; Neural architectures; Neural-networks; Parallelizations; Performance; Program synthesis; Transpilation; Python","neural networks; program synthesis; transpilation","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85129720072"
"Ionescu T.B.; Schlund S.","Ionescu, Tudor B. (26662293600); Schlund, Sebastian (9436044000)","26662293600; 9436044000","Programming cobots by voice: a pragmatic, web-based approach","2023","International Journal of Computer Integrated Manufacturing","36","1","","86","109","23","10.1080/0951192X.2022.2148754","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142873012&doi=10.1080%2f0951192X.2022.2148754&partnerID=40&md5=c48519be8213484fd9afb8b7f2fb72ff","This paper introduces a novel voice-based programming approach and software framework for collaborative robots (cobots) based on the Web Speech API, which is now supported by most modern browsers. The framework targets human programmable interfaces and human-machine interfaces, which can be used by people with little or no programming experience. The framework follows a meta-programming approach by enabling users to program cobots by voice in addition to using a mouse, tablet, or keyboard. Upon a voice instruction, the framework automates the manual tasks required to manipulate the vendor-provided interfaces. The main advantages of this approach are simplified, guided programming, which only requires the knowledge of 5–10 voice instructions; increased programming speed compared to the manual approach; and the possibility of sharing programs as videos. The approach is generalized to other kinds of robots and robot programming tools using so-called meta-controllers, which leverage the power of graphical user interface automation tools and techniques. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Application programming interfaces (API); Graphical user interfaces; Mammals; Robot programming; Collaborative robots; GUI automation; Human Machine Interface; Meta Programming; Plug-ins; Pragmatic web; Programming experience; Software frameworks; Voice-based programming; Web-based approach; Speech recognition","cobots; GUI automation; meta-programming; plugins; speech recognition; Voice-based programming","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85142873012"
"Choi Y.M.; Bouscasse B.; Ducrozet G.; Seng S.; Ferrant P.; Kim E.S.; Kim Y.J.","Choi, Young Myung (57204417202); Bouscasse, Benjamin (35365923200); Ducrozet, Guillaume (56017707600); Seng, Sopheak (55508869300); Ferrant, Pierre (55899370900); Kim, Eun Soo (57858357200); Kim, Young Jun (58001976800)","57204417202; 35365923200; 56017707600; 55508869300; 55899370900; 57858357200; 58001976800","An efficient methodology for the simulation of nonlinear irregular waves in computational fluid dynamics solvers based on the high order spectral method with an application with OpenFOAM","2023","International Journal of Naval Architecture and Ocean Engineering","15","","100510","","","","10.1016/j.ijnaoe.2022.100510","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146330133&doi=10.1016%2fj.ijnaoe.2022.100510&partnerID=40&md5=d1fb356d545ab4b62b7fddf312951266","An efficient methodology for simulating nonlinear irregular waves in a Computational Fluid Dynamics (CFD) solver is proposed. The High Order Spectral (HOS) method is used to generate nonlinear irregular waves in an open ocean and a numerical wave tank. The inverse Fast Fourier Transforms (FFTs) and multi-dimensional interpolation from the HOS simulation results are used for the efficient reconstruction of nonlinear waves in the CFD solver. The proposed procedure is published as an open-source project called Grid2Grid, which is developed to interface with a generic CFD solver. It provides the function Application Programming Interface (API), which can communicate with different programming languages. Extreme wave events were used to validate the proposed procedure. The predicted wave breaking events are reported both in OpenFOAM CFD and HOS simulations, and the wave elevations of CFD during simulations show good agreement with experiments and with HOS simulation. © 2022 Society of Naval Architects of Korea","Application programming interfaces (API); Fast Fourier transforms; Numerical methods; Oceanography; Open source software; Fluid dynamic solvers; Grid2grid; High order spectral; High-order; High-order spectral method; Higher-order; Irregular waves; Nonlinear irregular wave; Spectral simulations; Wavebreaking; Computational fluid dynamics","CFD; Grid2Grid; HOS; Nonlinear irregular wave; Wave breaking","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146330133"
"Stăniloiu E.; Niţu R.; Deaconescu R.; Rughiniş R.","Stăniloiu, Eduard (57226497631); Niţu, Răzvan (57224429303); Deaconescu, Răzvan (26030872300); Rughiniş, Răzvan (26031084800)","57226497631; 57224429303; 26030872300; 26031084800","A NEW COLLECTIONS FRAMEWORK FOR THE D PROGRAMMING LANGUAGE STANDARD LIBRARY","2022","UPB Scientific Bulletin, Series C: Electrical Engineering and Computer Science","84","3","","95","106","11","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136286970&partnerID=40&md5=0ee4fb942ed84cee15590890ca993519","D is a general purpose, high level and high performance, programming language capable of interfacing with the operating system API and system’s hardware. One of the core features of D is represented by ranges, a powerful and new approach of iterating through a set of elements. How-ever, being a state of the art feature, ranges are not used in the D ecosystem at their full potential. In this work we provide a new collections framework for the D Standard Library that is compatible with the existing algorithms and that provides an API similar to the one provided by ranges. Our implementation enables the collections to infer the safety of the operations from the contained, user provided, type. We show that our implementation may provide performance benefits of up to 2x compared to the existing standard library implementations, when used in conjunction with a custom allocator. © 2022, Politechnica University of Bucharest. All rights reserved.","High level languages; Collection; Core features; D; High performance programming; Language standards; New approaches; Performance benefits; Range; Standard libraries; State of the art; Application programming interfaces (API)","collections; D; data structures; ranges","Article","Final","","Scopus","2-s2.0-85136286970"
"Sulaiman A.; Feizollah A.; Mostafa M.M.; Zakaria Z.","Sulaiman, Ainin (25926787400); Feizollah, Ali (55994163200); Mostafa, Mohamed M. (7102550252); Zakaria, Zalina (57211854173)","25926787400; 55994163200; 7102550252; 57211854173","Profiling the halal food consumer on Instagram: integrating image, textual, and social tagging data","2023","Multimedia Tools and Applications","82","7","","10867","10886","19","10.1007/s11042-022-13685-3","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137473766&doi=10.1007%2fs11042-022-13685-3&partnerID=40&md5=5aaab31733375cb7587e816c5bfddc09","With more than one billion active users, Instagram is one of the most widely utilized social media platforms. Although recent research has begun to analyze brand-related images, Instagram remains largely neglected within halal food research. In this study, we aim to fill this research gap by collecting, labeling, aggregating, clustering, analyzing, and mapping halal food images, text, and social tagging on Instagram. In total, approximately 95,000 photos related to #halalfood tag were extracted from Instagram along with data related to photo captions, social tags, and comments on the posted photos. Google’s Cloud Vision Application Programming Interface (API) was employed for image labeling to represent context of the photos. The photos were categorized, based on their label, into food, place, advertisement, event, and unhealthy food. The captions and comments in each category were analyzed using the associate network and sentiment analysis approaches. The study found the most frequent tags in Instagram posts, besides the obvious halal food related tags, were #halalfoodexpo, #halalfoodkorea, #halalfoodfestival, and #burger. Furthermore, the most influential tags, besides the halal food related tags, were #halalfoodexpo, #chicken, #halalfoodkorea, #halaltourism, and #repost. In addition, it was found that most of the Instagram data contain positive sentiments towards halal food. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Application programming interfaces (API); Image analysis; Image annotation; Social networking (online); User profile; Associate network, sentiment analyse; Food research; Halal food; Image tagging; Instagram; Network sentiments; Recent researches; Sentiment analysis; Social media platforms; Social tagging; Sentiment analysis","Associate networks, sentiment analysis; Halal food; Instagram; Social tagging","Article","Final","","Scopus","2-s2.0-85137473766"
"Erhardt G.D.; Mucci R.A.; Cooper D.; Sana B.; Chen M.; Castiglione J.","Erhardt, Gregory D. (23484793200); Mucci, Richard Alexander (57201547731); Cooper, Drew (57204935529); Sana, Bhargava (35389924900); Chen, Mei (57203626503); Castiglione, Joe (16021350100)","23484793200; 57201547731; 57204935529; 35389924900; 57203626503; 16021350100","Do transportation network companies increase or decrease transit ridership? Empirical evidence from San Francisco","2022","Transportation","49","2","","313","342","29","10.1007/s11116-021-10178-4","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101857598&doi=10.1007%2fs11116-021-10178-4&partnerID=40&md5=1b75f6f379ed63acc74df86860b18b69","Transportation network companies (TNCs), such as Uber and Lyft, have been hypothesized to both complement and compete with public transit. Existing research on the topic is limited by a lack of detailed data on the timing and location of TNC trips. This study overcomes that limitation by using data scraped from the Application Programming Interfaces of two TNCs, combined with Automated Passenger Count data on transit use and other supporting data. Using a panel data model of the change in bus ridership in San Francisco between 2010 and 2015, and confirming the result with a separate time-series model, we find that TNCs are responsible for a net ridership decline of about 10%, offsetting net gains from other factors such as service increases and population growth. We do not find a statistically significant effect on light rail ridership. Cities and transit agencies should recognize the transit-competitive nature of TNCs as they plan, regulate and operate their transportation systems. © 2021, The Author(s).","California; San Francisco [California]; United States; Application programming interfaces (API); Panel data models; Population growth; Public transit; Time series modeling; Transit agencies; Transit riderships; Transportation network; Transportation system; car use; Internet; public transport; transportation development; transportation planning; transportation system; urban transport; Population statistics","Lyft; Mobility-as-a-Service (MaaS); Public transportation; Ride-hail; Ride-share; Ride-source; Transit ridership; Transportation network company (TNC); Uber","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101857598"
